# GENERATED from the schematic by kicad/gen/gen_bom.py -- do not hand-edit.
# Electrical rows are 1:1 with the KiCad netlist; mechanical/off-board items follow.
ref,description,value,footprint,digikey_pn,mouser_pn,qty,notes
R_bias2,Resistor,22k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_fb,Resistor,22k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_gain,Resistor,1k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_zobel,Resistor,10R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,,1,
TP_GND_PA,Test point (header pin or wire loop),GND,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_PA_BIAS,Test point (header pin or wire loop),PA_B,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_PA_OUT,Test point (header pin or wire loop),PA_OUT,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_SPK,Test point (header pin or wire loop),SPK,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
BR1,Bridge rectifier,KBP410G,Bridge_KBP_P3.81mm,KBP410G-ND,821-KBP410G,1,Or 4x 1N4007
C101,Capacitor (film/ceramic),10nF/100V,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R; was: bridge snubber
C102,Capacitor (film/ceramic),10nF/100V,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R; was: bridge snubber
C103,Capacitor (film/ceramic),10nF/100V,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R; was: bridge snubber
C104,Capacitor (film/ceramic),10nF/100V,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R; was: bridge snubber
C_filt1,Capacitor (electrolytic),1000uF/50V,CP_Radial_D12.5mm_P5.00mm,,667-EEU-FC1H102,1,low-ESR pre-filter bulk
C_filt2,Capacitor (electrolytic),1000uF/50V,CP_Radial_D12.5mm_P5.00mm,,667-EEU-FC1H102,1,low-ESR pre-filter bulk
C_main,Capacitor (electrolytic),4700uF/50V,CP_Radial_D18.0mm_P7.50mm,,667-EEU-FC1H472,1,low-ESR; or 2x2200uF if PCB-mounted (errata #16)
C_reg_in,Capacitor (electrolytic),10uF/50V,CP_Radial_D5.0mm_P2.50mm,,581-TAP106K050SCS,1,tantalum
C_reg_out1,Capacitor (electrolytic),10uF/25V,CP_Radial_D5.0mm_P2.50mm,,581-TAP106K025SCS,1,tantalum
C_reg_out2,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_vbr,Capacitor (electrolytic),47uF/25V,CP_Radial_D6.3mm_P2.50mm,,,1,
C_vbt,Capacitor (electrolytic),47uF/25V,CP_Radial_D6.3mm_P2.50mm,,,1,
F1,Fuse,1A SB,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,,576-0273001.H,1,secondary fuse; prefer AC-secondary placement (roast R5)
R_27V,Resistor,100R/1W,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,,,1,"LM317-input RC pre-filter w/ C_filt1 (VREG_IN ~32V, roast R2)"
R_bleed,Resistor,10k/5W,R_Axial_Power_L20.0mm_W6.4mm_P25.40mm,,,1,
R_reg1,Resistor,240R,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_reg2,Resistor,3.09k,R_1206_3216Metric,,,1,1206 1% 0.25 W (dissipates ~85 mW); was: 3.09k E96 -> 17.34V (errata #10)
R_vbr1,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_vbr2,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_vbt1,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_vbt2,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
T1,Power transformer (reused/off-board),reuse / AnTek AS-0524,WirePad_1x03_P5.08mm_D1.5mm,,,1,reuse original (test ~48VAC) or AnTek AS-0524 50VA
TP_17V,Test point (header pin or wire loop),+17V,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_33V5,Test point (header pin or wire loop),+33V5,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_GND_PSU,Test point (header pin or wire loop),GND,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_VRAW,Test point (header pin or wire loop),VRAW,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_VREG_IN,Test point (header pin or wire loop),VREG,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
U1,+17V rail regulator,LM317T,TO-220-3_Vertical,LM317T/NOPB-ND,926-LM317T/NOPB,1,
C_cpl12,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_cpl_out,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_in_pre,Capacitor (film/ceramic),47nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_pres,Capacitor (film/ceramic),100pF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_s1,Capacitor (electrolytic),10uF/25V,CP_Radial_D5.0mm_P2.00mm,,,1,
C_s2,Capacitor (electrolytic),10uF/25V,CP_Radial_D5.0mm_P2.00mm,,,1,
Q1,Preamp JFET,MMBF5457,SOT-23,,,1,"MMBF5457 fitted directly (no TO-92 adapter); pin 1 D, 2 S, 3 G per onsemi; was: AVAILABILITY WATCH (JFETs going EOL) - buy spares; alts J113/LSK170. THT board: SOT-23 on a TO-92 adapter or J113 -- pads 1/2/3 = D/S/G (errata #18); SMD variant fits it directly"
Q2,Preamp JFET,MMBF5457,SOT-23,,,1,"MMBF5457 fitted directly (no TO-92 adapter); pin 1 D, 2 S, 3 G per onsemi; was: see Q1"
R_d1,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_d2,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_g1,Resistor,1M,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_g2,Resistor,1M,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_s1,Resistor,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,,1,"2K2 biases Vd~12V; ~1-1.2k -> 8-9V target (errata #15), trim per device"
R_s2,Resistor,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,,1,see R_s1 (errata #15)
TP_GND_PRE,Test point (header pin or wire loop),GND,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_PRE_OUT,Test point (header pin or wire loop),PRE,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_Q1D,Test point (header pin or wire loop),Q1D,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_Q2D,Test point (header pin or wire loop),Q2D,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
C_drvin,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_drymix,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_rec_byp,Capacitor (electrolytic),10uF,CP_Radial_D5.0mm_P2.00mm,,,1,
C_rev1,Capacitor (electrolytic),1uF,CP_Radial_D5.0mm_P2.00mm,,,1,
C_rev2,Capacitor (film/ceramic),10nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_rev4,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_wetmix,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
IC1,Dual op-amp: reverb tank driver + wet/dry summer,TL072CP,DIP-8_W7.62mm,296-1775-5-ND,595-TL072CP,1,DIP-8; use a machined-pin SOCKET_IC
POT_REV,Reverb level (reused/off-board),reuse,WirePad_1x03_P2.54mm_D1.2mm,,,1,
Q_rec,Reverb-recovery JFET,MMBF5457,SOT-23,,,1,"MMBF5457 fitted directly (no TO-92 adapter); pin 1 D, 2 S, 3 G per onsemi; was: see Q1"
REV1,Reverb pan (high-Z input) (reused/off-board),4FB2A1C,WirePad_1x04_P2.54mm_D1.2mm,,,1,Accutronics/Belton 4FB2A1C ~1475ohm - NOT 4AB3C1B (8ohm)
R_drv1,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_drv2,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_drv3,Resistor,10R,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_drvbias,Resistor,220k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_drymix,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_fs_rev,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_mixfb,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_rec1,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_rec2,Resistor,2.2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,,1,
R_rec_bias,Resistor,1M,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_wetmix,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
TP_BLEND,Test point (header pin or wire loop),BLEND,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_GND_REV,Test point (header pin or wire loop),GND,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_QRD,Test point (header pin or wire loop),QRD,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_TANK_IN,Test point (header pin or wire loop),TK_IN,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_TANK_OUT,Test point (header pin or wire loop),TK_OUT,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_VBIAS_R,Test point (header pin or wire loop),VB_R,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
FS1,Footswitch DIN connector (reused/off-board),DIN-6,WirePad_1x06_P2.54mm_D1.2mm,,,1,
J_IN1,"1/4in jack (panel, reused)",Input 1,WirePad_1x02_P2.54mm_D1.2mm,,,1,
J_IN2,"1/4in jack (panel, reused)",Input 2,WirePad_1x02_P2.54mm_D1.2mm,,,1,
J_IN3,"1/4in jack (panel, reused)",IN3 / FX return,WirePad_1x02_P2.54mm_D1.2mm,,,1,
LS1,10in speaker (reused/off-board),10in Bulldog,WirePad_1x02_P5.08mm_D1.5mm,,,1,
R_spk_rtn,Resistor,0R,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,,,1,
C_byp3,Capacitor (film/ceramic),100nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_gg,Capacitor (film/ceramic),1.8nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_j1,Capacitor (film/ceramic),22nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_j2,Capacitor (film/ceramic),22nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_j3,Capacitor (film/ceramic),2.2nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_j4,Capacitor (film/ceramic),2.2nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_res,Capacitor (film/ceramic),22nF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_tout,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_treble,Capacitor (film/ceramic),470pF,C_1206_3216Metric,,,1,1206 50 V; C0G/NP0 in the signal path (X7R ok for supply bypass); snubbers 100 V X7R
C_vb3,Capacitor (electrolytic),47uF/25V,CP_Radial_D6.3mm_P2.50mm,,,1,
IC3,Quad op-amp: tone input buffer + x2 make-up after the passive James bass/treble network + mid-cut gyrator + output buffer,TL074CN,DIP-14_W7.62mm,,595-TL074CN,1,DIP-14; machined-pin SOCKET_IC14. Tone stack (errata #20)
POT_BASS,Bass (reused/off-board),250k lin,WirePad_1x03_P2.54mm_D1.2mm,,,1,"reused panel pot; James network scaled for 250k lin -- if the original measures differently, scale R_j1/R_j2/R_j3 and C_j1/C_j2 to keep the same corner frequencies"
POT_TREB,Treble (reused/off-board),250k lin,WirePad_1x03_P2.54mm_D1.2mm,,,1,reused panel pot; James network scaled for 250k lin -- scale C_j3/C_j4 inversely to keep the treble corner
POT_VOL,Volume (reused/off-board),250k log,WirePad_1x03_P2.54mm_D1.2mm,,,1,
R_fx_pad,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_gL,Resistor,4.7k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_gg,Resistor,220k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_inb,Resistor,1M,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_j1,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_j2,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_j3,Resistor,68k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_j4,Resistor,1k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_mid,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_mk1,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_mk2,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_vb31,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_vb32,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
SW_MID,"Mid-cut toggle (panel, line-reverse switch hole)",MID CUT,WirePad_1x02_P2.54mm_D1.2mm,,,1,"SPST (or SPDT wired as SPST) mini toggle, panel-mount in the ORIGINAL line-reverse switch hole (no new hole); switches an audio shunt sitting at mid-rail DC -> no pop"
TP_MK_OUT,Test point (header pin or wire loop),TMK,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_TONE_OUT,Test point (header pin or wire loop),TONE,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_VBIAS_3,Test point (header pin or wire loop),VB_3,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
C_dc_blk,Capacitor (electrolytic),10uF,CP_Radial_D5.0mm_P2.00mm,,,1,
C_lfo1,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_lfo2,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
C_obuf_in,Capacitor (film/ceramic),1uF,C_1210_3225Metric,,,1,"1210 X7R 50 V (fixed DC bias, small signal) -- or PPS/PET SMD film on a 2220 pad for the purist"
D_lfo1,Diode,1N4148,D_SOD-123,,,1,1N4148W replaces 1N4148; was: LFO amplitude clamp
D_lfo2,Diode,1N4148,D_SOD-123,,,1,1N4148W replaces 1N4148; was: LFO amplitude clamp
IC2,Dual op-amp: tremolo LFO + output buffer,TL072CP,DIP-8_W7.62mm,296-1775-5-ND,595-TL072CP,1,DIP-8; use a machined-pin SOCKET_IC
LED_rate,LED,3mm red,LED_D3.0mm,160-1127-ND,,1,"on-board diagnostic, not panel"
POT_DPT,Tremolo depth (reused/off-board),100k lin,WirePad_1x03_P2.54mm_D1.2mm,,,1,
POT_SPD_A,"Tremolo speed -- dual-gang pot, gang A (series Wien arm)",250k lin dual,WirePad_1x03_P2.54mm_D1.2mm,,,1,"DUAL-GANG 250k linear, 1 part = gangs A+B (same panel hole as the original speed pot); errata #19"
POT_SPD_B,"Tremolo speed -- dual-gang pot, gang B (shunt Wien arm); ONE part with POT_SPD_A",250k lin dual,WirePad_1x03_P2.54mm_D1.2mm,,,1,second gang of POT_SPD_A -- do not order twice
R_fs_trem,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_led,Resistor,1k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_led_diag,Resistor,2.2k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_lfo_fb1,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_lfo_fb2,Resistor,4.7k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_lfo_ser,Resistor,15k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_lfo_sh,Resistor,15k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_obuf_b,Resistor,100k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
R_trem1,Resistor,10k,R_0805_2012Metric,,,1,0805 1% (thin-film for the 1M gate / input resistors; thick-film elsewhere); JLCPCB basic
TP_GND_TREM,Test point (header pin or wire loop),GND,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_LFO,Test point (header pin or wire loop),LFO,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_PA_IN,Test point (header pin or wire loop),PA_IN,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_TREM_OUT,Test point (header pin or wire loop),TREM,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
TP_VBIAS_T,Test point (header pin or wire loop),VB_T,TestPoint_THT_D2.0mm_Label,,,1,bench test point: fit a header pin or a bare 0.6 mm wire loop; silk shows the net
VTL1,Tremolo optocoupler,VTL5C1,VTL5C1,,,1,Xvive VTL5C1 (single-source) or DIY LED+LDR
# --- off-board / mechanical (not in netlist) ---,,,,,,,
F_MAINS,MAINS PRIMARY fuse (SAFETY),T800mA 250V slow-blow,5x20mm,,,1,"IEC inlet primary fuse (120V; ~T400mA@230V). REQUIRED, was missing (roast R1). Off-board"
F_MAINS_holder,Fused IEC inlet / panel fuse holder,,panel,,,1,carries the mains fuse
F1_holder,Secondary fuse holder,5x20mm,PCB/panel,,534-3557,1,
SOCKET_IC,8-pin DIP machined-pin socket,turned-pin,DIP-8,ED3008-5-ND,575-193308,2,"REQUIRED for IC1/IC2 (machined, not stamped)"
SOCKET_IC14,14-pin DIP machined-pin socket,turned-pin,DIP-14,,,1,REQUIRED for IC3 (tone stack TL074)
SOCKET_U1,TO-220 socket (optional),3-pin,TO-220,,,0,optional LM317 field-swap; LM1875 stays soldered
HS_LM1875,Heatsink for LM1875,<=2.5 C/W,bracket,,,1,reuse original bracket; mica + shoulder washer
INS_MICA,TO-220 mica insulator + bushing,,,,,1,for LM1875
STANDOFF,Nylon standoffs + screws,,,,,4,PCB mounting
